Date,Open,High,Low,Close,Volume
2022-09-01 16:00:00+00:00,4.4,4.4,4.25,4.285,6414.377
2022-09-01 17:00:00+00:00,4.285,4.323,4.271,4.276,19294.777
2022-09-01 18:00:00+00:00,4.276,4.31,4.264,4.282,7050.188
2022-09-01 19:00:00+00:00,4.291,4.314,4.283,4.314,9175.639
2022-09-01 20:00:00+00:00,4.323,4.392,4.31,4.363,16755.902
2022-09-01 21:00:00+00:00,4.367,4.368,4.323,4.352,6485.158
2022-09-01 22:00:00+00:00,4.355,4.368,4.321,4.323,8810.775
2022-09-01 23:00:00+00:00,4.323,4.36,4.313,4.344,9018.584
2022-09-02 00:00:00+00:00,4.344,4.392,4.303,4.324,11390.441
2022-09-02 01:00:00+00:00,4.324,4.341,4.263,4.274,21077.049
2022-09-02 02:00:00+00:00,4.274,4.296,4.244,4.275,6179.055
2022-09-02 03:00:00+00:00,4.275,4.344,4.274,4.329,10436.121
2022-09-02 04:00:00+00:00,4.329,4.36,4.306,4.313,5864.338
2022-09-02 05:00:00+00:00,4.318,4.318,4.284,4.299,7011.251
2022-09-02 06:00:00+00:00,4.299,4.304,4.27,4.288,5680.165
2022-09-02 07:00:00+00:00,4.288,4.297,4.263,4.278,3975.363
2022-09-02 08:00:00+00:00,4.278,4.292,4.236,4.255,4100.033
2022-09-02 09:00:00+00:00,4.255,4.278,4.242,4.264,3591.38
2022-09-02 10:00:00+00:00,4.264,4.29,4.232,4.235,13523.447
2022-09-02 11:00:00+00:00,4.235,4.244,4.189,4.233,15846.782
2022-09-02 12:00:00+00:00,4.233,4.324,4.214,4.281,6255.545
2022-09-02 13:00:00+00:00,4.282,4.328,4.277,4.29,7502.358
2022-09-02 14:00:00+00:00,4.29,4.367,4.277,4.35,11050.783
2022-09-02 15:00:00+00:00,4.35,4.371,4.327,4.351,8817.641
2022-09-02 16:00:00+00:00,4.351,4.363,4.256,4.272,15108.615
2022-09-02 17:00:00+00:00,4.272,4.275,4.151,4.169,9173.269
2022-09-02 18:00:00+00:00,4.167,4.197,4.136,4.167,8194.807
